transaction_id,account_id,transaction_date,transaction_type,transaction_amount,merchant_id
TXN10000,ACC1006,2023-10-08,Subscription Payment,25000,MER2030
TXN10001,ACC1002,2023-03-07,Withdrawal,30000,MER2007
TXN10002,ACC1088,2022-04-11,ATM Withdrawal,1000,MER2004
TXN10003,ACC1090,2022-07-21,Subscription Payment,10000,MER2014
TXN10004,ACC1047,2023-03-15,Withdrawal,70000,MER2035
TXN10005,ACC1091,2022-12-22,Withdrawal,5000,MER2073
TXN10006,ACC1089,2023-12-27,Subscription Payment,5000,MER2061
TXN10007,ACC1085,2022-09-02,Credit Card Payment,50000,MER2071
TXN10008,ACC1053,2023-03-02,Deposit,200000,MER2050
TXN10009,ACC1079,2023-12-27,Fund Transfer,1000,MER2069
TXN10010,ACC1076,2023-02-21,Bill Payment,500,MER2039
TXN10011,ACC1023,2023-11-29,Bill Payment,20000,MER2095
TXN10012,ACC1007,2022-10-10,Loan Payment,1000,MER2028
TXN10013,ACC1051,2023-07-09,Bill Payment,500,MER2030
TXN10014,ACC1026,2023-02-10,Online Purchase,10000,MER2062
TXN10015,ACC1053,2023-05-26,ATM Withdrawal,20000,MER2086
TXN10016,ACC1053,2023-09-22,Subscription Payment,50000,MER2095
TXN10017,ACC1058,2023-12-15,Credit Card Payment,50000,MER2066
TXN10018,ACC1065,2023-11-04,Fund Transfer,10000,MER2074
TXN10019,ACC1078,2023-07-24,Withdrawal,5000,MER2010
TXN10020,ACC1087,2023-06-16,Fund Transfer,1000,MER2093
TXN10021,ACC1094,2023-08-12,Loan Payment,10000,MER2078
TXN10022,ACC1007,2022-11-03,Loan Payment,20000,MER2051
TXN10023,ACC1076,2023-06-13,Subscription Payment,15000,MER2038
TXN10024,ACC1074,2022-11-06,Fund Transfer,5000,MER2002
TXN10025,ACC1074,2023-11-04,Loan Payment,2000,MER2095
TXN10026,ACC1054,2023-07-26,Withdrawal,10000,MER2000
TXN10027,ACC1052,2022-02-02,Credit Card Payment,10000,MER2081
TXN10028,ACC1012,2023-01-08,Subscription Payment,1000,MER2007
TXN10029,ACC1007,2022-12-25,Fund Transfer,20000,MER2005
TXN10030,ACC1096,2023-08-07,Subscription Payment,2000,MER2064
TXN10031,ACC1072,2023-02-19,Loan Payment,10000,MER2046
TXN10032,ACC1058,2023-08-23,Bill Payment,5000,MER2051
TXN10033,ACC1049,2023-02-09,Loan Payment,200000,MER2075
TXN10034,ACC1001,2023-02-01,Online Purchase,10000,MER2065
TXN10035,ACC1074,2022-08-17,Withdrawal,300000,MER2081
TXN10036,ACC1027,2023-06-06,Deposit,30000,MER2044
TXN10037,ACC1057,2023-11-14,ATM Withdrawal,5000,MER2072
TXN10038,ACC1026,2023-01-05,Online Purchase,50000,MER2079
TXN10039,ACC1089,2023-08-08,Deposit,2000,MER2076
TXN10040,ACC1013,2022-08-05,ATM Withdrawal,5000,MER2003
TXN10041,ACC1097,2022-08-05,Fund Transfer,500,MER2015
TXN10042,ACC1035,2022-09-27,Online Purchase,1000,MER2058
TXN10043,ACC1037,2023-01-19,Online Purchase,5000,MER2022
TXN10044,ACC1081,2023-02-23,Bill Payment,100000,MER2003
TXN10045,ACC1075,2022-11-06,Fund Transfer,10000,MER2005
TXN10046,ACC1055,2023-07-25,Loan Payment,1000,MER2043
TXN10047,ACC1034,2023-08-07,Withdrawal,5000,MER2000
TXN10048,ACC1050,2022-10-13,Fund Transfer,30000,MER2052
TXN10049,ACC1011,2023-10-10,Loan Payment,200000,MER2071
TXN10050,ACC1019,2023-12-04,Loan Payment,500,MER2009
TXN10051,ACC1060,2022-11-09,Online Purchase,2000,MER2002
TXN10052,ACC1063,2023-03-09,Deposit,2000,MER2040
TXN10053,ACC1006,2023-01-02,Deposit,10000,MER2014
TXN10054,ACC1029,2023-01-11,Bill Payment,5000,MER2023
